id;period_from;period_to;filling_date;preparation_date;preparation_to_date;approval_date;auditors_report_date;business_name;cin;tax_id;fund_name;lei_code;consolidated;central_government_consolidated;public_administration_summary;type;data_source;last_updated_on
1;zero defect drive Practical;convergence monitor;2019-11-15T16:57:04;2019-11-15T22:36:05;2019-11-15T20:01:49;2019-11-15T11:27:59;2019-11-15T14:10:15;systematic;program;Gorgeous Steel Salad Associate;Fantastic whiteboard;lavender;true;true;true;Generic;Facilitator XSS;2019-11-15T08:15:46
2;Investor Officer;Associate Intuitive Creative;2019-11-15T07:05:25;2019-11-15T17:08:53;2019-11-15T08:05:46;2019-11-15T02:44:47;2019-11-15T10:22:38;Automated;architect;lavender;copying primary invoice;EXE;true;true;true;Ball syndicate;Buckinghamshire Liaison Forward;2019-11-15T11:33:38
3;Savings Account;Antigua and Barbuda Personal Loan Account Utah;2019-11-15T20:29:10;2019-11-15T11:42:12;2019-11-15T01:37:22;2019-11-15T13:17:37;2019-11-15T16:18:26;Granite;Tasty Fresh Pizza Jewelery monitoring;Russian Federation Gorgeous ROI;Computers Saint Helena Pound;Borders;false;true;false;Bond Markets Units European Composite Unit (EURCO);Facilitator;2019-11-15T21:12:19
4;RSS Borders;generating open-source Ouguiya;2019-11-15T09:06:15;2019-11-15T01:56:03;2019-11-15T16:16:23;2019-11-15T05:04:05;2019-11-15T01:35:41;optical deposit;Pizza Fish next-generation;UIC-Franc;Generic El Salvador Colon US Dollar purple;XSS RSS Outdoors;true;false;false;one-to-one reboot Chair;Tennessee generate Adaptive;2019-11-15T18:02:47
5;Generic;Designer;2019-11-15T07:31:06;2019-11-15T19:54:05;2019-11-15T16:26:47;2019-11-15T13:38:28;2019-11-15T07:27:57;Solomon Islands;Wooden radical Beauty;Facilitator 24/365;Sausages bypass;Directives Baht Tasty Plastic Keyboard;true;true;false;Mississippi proactive Checking Account;SCSI;2019-11-14T22:55:06
6;Yemeni Rial Shoals deposit;navigate Movies;2019-11-15T22:09:03;2019-11-15T02:57:56;2019-11-15T14:54:54;2019-11-15T13:45:28;2019-11-15T10:57:16;compress UAE Dirham Dam;Wells;partnerships Terrace Hat;calculating conglomeration bypassing;Kroon deposit systemic;true;true;false;mindshare;District THX Coordinator;2019-11-15T04:26:23
7;methodologies;e-services;2019-11-15T01:13:25;2019-11-15T05:17:45;2019-11-15T17:09:46;2019-11-15T04:46:54;2019-11-15T17:34:02;Outdoors;array Utah;Neck Liaison;fuchsia;hack;true;false;true;back up Auto Loan Account;4th generation;2019-11-15T00:47:52
8;Orchestrator indigo Manors;Rubber;2019-11-15T19:40:38;2019-11-15T08:06:23;2019-11-15T06:13:42;2019-11-15T16:44:27;2019-11-15T12:21:16;teal Avon;payment;maximized;e-tailers Architect Chair;Handcrafted Cotton Shirt Walks;true;true;false;El Salvador Colon US Dollar XSS;Lead sensor bypass;2019-11-15T19:10:46
9;Tasty;Steel Berkshire;2019-11-15T07:50:46;2019-11-15T17:38:00;2019-11-15T05:49:22;2019-11-15T14:22:39;2019-11-15T09:15:01;Automotive approach Borders;PCI;Sports;24/365;Frozen;true;false;true;neural green Chicken;Web;2019-11-15T19:42:02
10;Lead Personal Loan Account Checking Account;French Guiana capacitor;2019-11-15T01:46:43;2019-11-14T23:56:44;2019-11-15T05:32:38;2019-11-15T07:40:28;2019-11-15T03:26:25;seamless indexing Handcrafted;Malta Auto Loan Account online;deposit Central African Republic;markets protocol Savings Account;Shoes HDD;false;false;true;out-of-the-box Pizza;systems Sleek Wooden Towels Clothing;2019-11-15T07:00:13
