id;currency;tax_office_code;data_accessibility;content;data_source;last_updated_on
1;Philippine Peso incentivize;Metal;methodologies Granite Corporate;needs-based Sports Global;generating;2019-11-15T10:43:39
2;Awesome Cotton Tuna;calculating yellow;Wooden;Future;pixel Phased payment;2019-11-15T10:49:09
3;Virginia;niches drive Ireland;strategic;microchip Ergonomic Auto Loan Account;Fantastic Fresh Ball;2019-11-15T12:11:21
4;International card;West Virginia Keys;Factors Soft;black Beauty;Soap;2019-11-15T02:29:07
5;indexing;Savings Account extensible connect;robust;interface Buckinghamshire;Investment Account Forge Licensed;2019-11-15T20:48:55
6;Clothing Engineer Toys;granular;solid state;Soft Quality Mount;Awesome;2019-11-14T23:41:09
7;input invoice calculate;Philippine Peso parsing Triple-buffered;deposit Rand Namibia Dollar;Branding;Handcrafted Rubber Sausages;2019-11-14T22:41:51
8;New Hampshire;Product Music;card azure Frozen;Data Shoal;Refined Granite Gloves South Georgia and the South Sandwich Islands deposit;2019-11-15T07:04:40
9;one-to-one Connecticut;Unbranded Tugrik;models streamline;projection Maldives;withdrawal alarm Timor-Leste;2019-11-15T12:26:17
10;SSL web-readiness;JBOD Books;sky blue matrix Data;Supervisor;Licensed Steel Shirt Sleek Granite Tuna;2019-11-15T08:44:37
